chave,lat,lon,metodo,extra
CITY_CENTER ARAPONGAS PR BRAZIL,-23.4152862,-51.4293961,CityCenter,"ARAPONGAS, PR, Brazil"
BRASILAPI 17052005,,,BrasilAPI,"Bauru,SP"
CITY_CENTER BAURU SP BRAZIL,-22.3218102,-49.0705863,CityCenter,"BAURU, SP, Brazil"
BRASILAPI 35680095,,,BrasilAPI,"Itaúna,MG"
CITY_CENTER ITAÚNA MG BRAZIL,-20.075556,-44.576389,CityCenter,"ITAÚNA, MG, Brazil"
BRASILAPI 50731005,,,BrasilAPI,"Recife,PE"
BRASILAPI 40157151,,,BrasilAPI,"Salvador,BA"
CITY_CENTER CAXIAS MA BRAZIL,-4.8654201,-43.353664,CityCenter,"CAXIAS, MA, Brazil"
BRASILAPI 41181900,,,BrasilAPI,"Salvador,BA"
BRASILAPI 57057000,,,BrasilAPI,"Maceió,AL"
BRASILAPI 99500000,,,BrasilAPI,"Carazinho,RS"
CITY_CENTER CARAZINHO RS BRAZIL,-28.2981634,-52.7942363,CityCenter,"CARAZINHO, RS, Brazil"
CITY_CENTER OLINDA PE BRAZIL,-7.9986401,-34.8459552,CityCenter,"OLINDA, PE, Brazil"
CITY_CENTER BALSAS MA BRAZIL,-7.53214,-46.037163,CityCenter,"BALSAS, MA, Brazil"
BRASILAPI 44052064,,,BrasilAPI,"Feira de Santana,BA"
CITY_CENTER FEIRA DE SANTANA BA BRAZIL,-12.2578934,-38.9598047,CityCenter,"FEIRA DE SANTANA, BA, Brazil"
BRASILAPI 44520000,,,BrasilAPI,"Rafael Jambeiro,BA"
CITY_CENTER RAFAEL JAMBEIRO BA BRAZIL,-12.3988144,-39.5020289,CityCenter,"RAFAEL JAMBEIRO, BA, Brazil"
BRASILAPI 34710138,,,BrasilAPI,"Sabará,MG"
CITY_CENTER SABARÁ MG BRAZIL,-19.8900372,-43.8107916,CityCenter,"SABARÁ, MG, Brazil"
BRASILAPI 35680352,,,BrasilAPI,"Itaúna,MG"
BRASILAPI 58111400,,,BrasilAPI,"Bayeux,PB"
CITY_CENTER BAYEUX PB BRAZIL,-7.1301631,-34.936532,CityCenter,"BAYEUX, PB, Brazil"
BRASILAPI 41730101,,,BrasilAPI,"Salvador,BA"
BRASILAPI 42701450,,,BrasilAPI,"Lauro de Freitas,BA"
CITY_CENTER LAURO DE FREITAS BA BRAZIL,-12.89242,-38.3127691,CityCenter,"LAURO DE FREITAS, BA, Brazil"
BRASILAPI 17512751,,,BrasilAPI,"Marília,SP"
CITY_CENTER MARÍLIA SP BRAZIL,-22.2172002,-49.9500061,CityCenter,"MARÍLIA, SP, Brazil"
BRASILAPI 13414040,,,BrasilAPI,"Piracicaba,SP"
CITY_CENTER PIRACICABA SP BRAZIL,-22.725165,-47.6493269,CityCenter,"PIRACICABA, SP, Brazil"
CITY_CENTER VITÓRIA DA CONQUISTA BA BRAZIL,-14.8567487,-40.8414804,CityCenter,"VITÓRIA DA CONQUISTA, BA, Brazil"
BRASILAPI 68385000,,,BrasilAPI,"Tucumã,PA"
CITY_CENTER TUCUMÃ PA BRAZIL,-6.7517239,-51.1507941,CityCenter,"TUCUMÃ, PA, Brazil"
BRASILAPI 79033180,,,BrasilAPI,"Campo Grande,MS"
CITY_CENTER CAMPO GRANDE MS BRAZIL,-20.4640173,-54.6162947,CityCenter,"CAMPO GRANDE, MS, Brazil"
BRASILAPI 55016400,,,BrasilAPI,"Caruaru,PE"
CITY_CENTER CARUARU PE BRAZIL,-8.2829702,-35.9722852,CityCenter,"CARUARU, PE, Brazil"
BRASILAPI 64204035,,,BrasilAPI,"Parnaíba,PI"
CITY_CENTER PARNAÍBA PI BRAZIL,-2.9147515,-41.7661953,CityCenter,"PARNAÍBA, PI, Brazil"
BRASILAPI 65390000,,,BrasilAPI,"Santa Luzia,MA"
CITY_CENTER SANTA LUZIA MA BRAZIL,-3.9633675,-45.6637956,CityCenter,"SANTA LUZIA, MA, Brazil"
BRASILAPI 41820021,,,BrasilAPI,"Salvador,BA"
BRASILAPI 68639000,,,BrasilAPI,"Goianésia do Pará,PA"
CITY_CENTER GOIANÉSIA DO PARÁ PA BRAZIL,-3.8380998,-49.0977992,CityCenter,"GOIANÉSIA DO PARÁ, PA, Brazil"
BRASILAPI 68625970,,,BrasilAPI,"Paragominas,PA"
CITY_CENTER PARAGOMINAS PA BRAZIL,-2.99564,-47.3548942,CityCenter,"PARAGOMINAS, PA, Brazil"
BRASILAPI 68540000,,,BrasilAPI,"Conceição do Araguaia,PA"
CITY_CENTER CONCEIÇÃO DO ARAGUAIA PA BRAZIL,-8.2696905,-49.2676864,CityCenter,"CONCEIÇÃO DO ARAGUAIA, PA, Brazil"
CITY_CENTER ALTO GARÇAS MT BRAZIL,-16.9469683,-53.529427,CityCenter,"ALTO GARÇAS, MT, Brazil"
BRASILAPI 49040020,,,BrasilAPI,"Aracaju,SE"
CITY_CENTER ARACAJU SE BRAZIL,-10.9162061,-37.0774655,CityCenter,"ARACAJU, SE, Brazil"
BRASILAPI 38406633,,,BrasilAPI,"Uberlândia,MG"
CITY_CENTER UBERLÂNDIA MG BRAZIL,-18.9188041,-48.2767837,CityCenter,"UBERLÂNDIA, MG, Brazil"
CITY_CENTER ITUPIRANGA PA BRAZIL,-5.1337224,-49.3321988,CityCenter,"ITUPIRANGA, PA, Brazil"
BRASILAPI 15081285,,,BrasilAPI,"São José do Rio Preto,SP"
CITY_CENTER SÃO JOSÉ DO RIO PRETO SP BRAZIL,-20.8125851,-49.3804212,CityCenter,"SÃO JOSÉ DO RIO PRETO, SP, Brazil"
BRASILAPI 28035582,,,BrasilAPI,"Campos dos Goytacazes,RJ"
CITY_CENTER CAMPOS DOS GOYTACAZES RJ BRAZIL,-21.7546,-41.3242,CityCenter,"CAMPOS DOS GOYTACAZES, RJ, Brazil"
CITY_CENTER AÇAILÂNDIA MA BRAZIL,-4.9515026,-47.500732,CityCenter,"AÇAILÂNDIA, MA, Brazil"
BRASILAPI 58102655,,,BrasilAPI,"Cabedelo,PB"
CITY_CENTER CABEDELO PB BRAZIL,-6.97324,-34.8351609,CityCenter,"CABEDELO, PB, Brazil"
BRASILAPI 15090305,,,BrasilAPI,"São José do Rio Preto,SP"
CITY_CENTER MAUÁ SP BRAZIL,-23.6669527,-46.4616922,CityCenter,"MAUÁ, SP, Brazil"
BRASILAPI 13880000,,,BrasilAPI,"Vargem Grande do Sul,SP"
CITY_CENTER VARGEM GRANDE DO SUL SP BRAZIL,-21.8310636,-46.893303,CityCenter,"VARGEM GRANDE DO SUL, SP, Brazil"
BRASILAPI 41800700,,,BrasilAPI,"Salvador,BA"
BRASILAPI 40265200,,,BrasilAPI,"Salvador,BA"
BRASILAPI 68790000,,,BrasilAPI,"Santa Isabel do Pará,PA"
CITY_CENTER SANTA ISABEL DO PARÁ PA BRAZIL,-1.2968557,-48.1605533,CityCenter,"SANTA ISABEL DO PARÁ, PA, Brazil"
BRASILAPI 79601970,,,BrasilAPI,"Três Lagoas,MS"
CITY_CENTER TRÊS LAGOAS MS BRAZIL,-20.7866799,-51.7061247,CityCenter,"TRÊS LAGOAS, MS, Brazil"
BRASILAPI 58411450,,,BrasilAPI,"Campina Grande,PB"
CITY_CENTER CAMPINA GRANDE PB BRAZIL,-7.2246743,-35.8771292,CityCenter,"CAMPINA GRANDE, PB, Brazil"
BRASILAPI 69099045,,,BrasilAPI,"Manaus,AM"
CITY_CENTER MANAUS AM BRAZIL,-3.1316333,-59.9825041,CityCenter,"MANAUS, AM, Brazil"
CITY_CENTER DUQUE DE CAXIAS RJ BRAZIL,-22.7896225,-43.309929,CityCenter,"DUQUE DE CAXIAS, RJ, Brazil"
BRASILAPI 22775005,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 65910000,,,BrasilAPI,"Imperatriz,MA"
CITY_CENTER IMPERATRIZ MA BRAZIL,-5.5269279,-47.478115,CityCenter,"IMPERATRIZ, MA, Brazil"
BRASILAPI 59296608,,,BrasilAPI,"São Gonçalo do Amarante,RN"
CITY_CENTER SÃO GONÇALO DO AMARANTE RN BRAZIL,-5.7932331,-35.3286312,CityCenter,"SÃO GONÇALO DO AMARANTE, RN, Brazil"
BRASILAPI 78700905,,,BrasilAPI,"Rondonópolis,MT"
CITY_CENTER RONDONÓPOLIS MT BRAZIL,-16.4603533,-54.6397099,CityCenter,"RONDONÓPOLIS, MT, Brazil"
BRASILAPI 54330000,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
CITY_CENTER JABOATÃO DOS GUARARAPES PE BRAZIL,-8.1752476,-34.9468716,CityCenter,"JABOATÃO DOS GUARARAPES, PE, Brazil"
BRASILAPI 54410100,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
CITY_CENTER GUARULHOS SP BRAZIL,-23.4675941,-46.5277704,CityCenter,"GUARULHOS, SP, Brazil"
BRASILAPI 30170120,,,BrasilAPI,"Belo Horizonte,MG"
CITY_CENTER BELO HORIZONTE MG BRAZIL,-19.9227318,-43.9450948,CityCenter,"BELO HORIZONTE, MG, Brazil"
CITY_CENTER ARAGUAÍNA TO BRAZIL,-7.193241,-48.2018597,CityCenter,"ARAGUAÍNA, TO, Brazil"
BRASILAPI 74910096,,,BrasilAPI,"Aparecida de Goiânia,GO"
CITY_CENTER APARECIDA DE GOIÂNIA GO BRAZIL,-16.8226769,-49.2452546,CityCenter,"APARECIDA DE GOIÂNIA, GO, Brazil"
BRASILAPI 78500000,,,BrasilAPI,"Colíder,MT"
CITY_CENTER COLÍDER MT BRAZIL,-10.8094999,-55.4540386,CityCenter,"COLÍDER, MT, Brazil"
BRASILAPI 21530001,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 20930041,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 35162410,,,BrasilAPI,"Ipatinga,MG"
CITY_CENTER IPATINGA MG BRAZIL,-19.4777807,-42.5270802,CityCenter,"IPATINGA, MG, Brazil"
BRASILAPI 53570165,,,BrasilAPI,"Abreu e Lima,PE"
CITY_CENTER ABREU E LIMA PE BRAZIL,-7.900719,-34.898389,CityCenter,"ABREU E LIMA, PE, Brazil"
BRASILAPI 69315242,,,BrasilAPI,"Boa Vista,RR"
CITY_CENTER BOA VISTA RR BRAZIL,2.8208478,-60.6719582,CityCenter,"BOA VISTA, RR, Brazil"
BRASILAPI 74270020,,,BrasilAPI,"Goiânia,GO"
CITY_CENTER GOIÂNIA GO BRAZIL,-16.680882,-49.2532691,CityCenter,"GOIÂNIA, GO, Brazil"
BRASILAPI 18150000,,,BrasilAPI,"Ibiúna,SP"
CITY_CENTER IBIÚNA SP BRAZIL,-23.6544825,-47.220856,CityCenter,"IBIÚNA, SP, Brazil"
BRASILAPI 13700000,,,BrasilAPI,"Casa Branca,SP"
CITY_CENTER CASA BRANCA SP BRAZIL,-21.7743137,-47.0852175,CityCenter,"CASA BRANCA, SP, Brazil"
BRASILAPI 69313630,,,BrasilAPI,"Boa Vista,RR"
CITY_CENTER PINHEIRO MA BRAZIL,-2.5270459,-45.0866463,CityCenter,"PINHEIRO, MA, Brazil"
CITY_CENTER SANTA INÊS MA BRAZIL,-3.6647821,-45.3826869,CityCenter,"SANTA INÊS, MA, Brazil"
BRASILAPI 65075441,,,BrasilAPI,"São Luís,MA"
BRASILAPI 35530000,,,BrasilAPI,"Cláudio,MG"
CITY_CENTER CLÁUDIO MG BRAZIL,-20.4448485,-44.7655217,CityCenter,"CLÁUDIO, MG, Brazil"
BRASILAPI 44700000,,,BrasilAPI,"Jacobina,BA"
CITY_CENTER JACOBINA BA BRAZIL,-11.1851561,-40.5112434,CityCenter,"JACOBINA, BA, Brazil"
CITY_CENTER BARRA DO CORDA MA BRAZIL,-5.496823,-45.248496,CityCenter,"BARRA DO CORDA, MA, Brazil"
BRASILAPI 45652565,,,BrasilAPI,"Ilhéus,BA"
CITY_CENTER ILHÉUS BA BRAZIL,-14.792599,-39.0453843,CityCenter,"ILHÉUS, BA, Brazil"
CITY_CENTER ITAPIPOCA CE BRAZIL,-3.4960586,-39.5819197,CityCenter,"ITAPIPOCA, CE, Brazil"
CITY_CENTER JUAZEIRO BA BRAZIL,-9.4336959,-40.5068201,CityCenter,"JUAZEIRO, BA, Brazil"
BRASILAPI 58808200,,,BrasilAPI,"Sousa,PB"
CITY_CENTER SOUSA PB BRAZIL,-6.7662029,-38.2319607,CityCenter,"SOUSA, PB, Brazil"
BRASILAPI 65095603,,,BrasilAPI,"São Luís,MA"
CITY_CENTER TEIXEIRA DE FREITAS BA BRAZIL,-17.5384774,-39.7451701,CityCenter,"TEIXEIRA DE FREITAS, BA, Brazil"
BRASILAPI 45203830,,,BrasilAPI,"Jequié,BA"
CITY_CENTER JEQUIÉ BA BRAZIL,-13.8604033,-40.0719627,CityCenter,"JEQUIÉ, BA, Brazil"
BRASILAPI 66090363,,,BrasilAPI,"Belém,PA"
CITY_CENTER BELÉM PA BRAZIL,-1.45056,-48.4682453,CityCenter,"BELÉM, PA, Brazil"
BRASILAPI 57038000,,,BrasilAPI,"Maceió,AL"
BRASILAPI 62677000,,,BrasilAPI,"São Gonçalo do Amarante,CE"
CITY_CENTER SÃO GONÇALO DO AMARANTE CE BRAZIL,-3.6099755,-38.9687182,CityCenter,"SÃO GONÇALO DO AMARANTE, CE, Brazil"
BRASILAPI 79033005,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 79013545,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 31160342,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 52140005,,,BrasilAPI,"Recife,PE"
BRASILAPI 46400000,,,BrasilAPI,"Caetité,BA"
CITY_CENTER CAETITÉ BA BRAZIL,-14.0691776,-42.4852428,CityCenter,"CAETITÉ, BA, Brazil"
BRASILAPI 65073780,,,BrasilAPI,"São Luís,MA"
BRASILAPI 22790704,,,BrasilAPI,"Rio de Janeiro,RJ"
CITY_CENTER PICOS PI BRAZIL,-7.0823544,-41.4685053,CityCenter,"PICOS, PI, Brazil"
CITY_CENTER CARAPICUÍBA SP BRAZIL,-23.5234673,-46.8406808,CityCenter,"CARAPICUÍBA, SP, Brazil"
BRASILAPI 44050782,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 11440000,,,BrasilAPI,"Guarujá,SP"
CITY_CENTER GUARUJÁ SP BRAZIL,-23.9927768,-46.2558332,CityCenter,"GUARUJÁ, SP, Brazil"
BRASILAPI 69040040,,,BrasilAPI,"Manaus,AM"
BRASILAPI 74125100,,,BrasilAPI,"Goiânia,GO"
BRASILAPI 15600348,,,BrasilAPI,"Fernandópolis,SP"
CITY_CENTER FERNANDÓPOLIS SP BRAZIL,-20.2825647,-50.2500762,CityCenter,"FERNANDÓPOLIS, SP, Brazil"
CITY_CENTER OSASCO SP BRAZIL,-23.5324859,-46.7916801,CityCenter,"OSASCO, SP, Brazil"
CITY_CENTER PORTO SEGURO BA BRAZIL,-16.443473,-39.064251,CityCenter,"PORTO SEGURO, BA, Brazil"
BRASILAPI 65071380,,,BrasilAPI,"São Luís,MA"
BRASILAPI 34006065,,,BrasilAPI,"Nova Lima,MG"
BRASILAPI 55034190,,,BrasilAPI,"Caruaru,PE"
BRASILAPI 53437000,,,BrasilAPI,"Paulista,PE"
BRASILAPI 59067600,,,BrasilAPI,"Natal,RN"
CITY_CENTER NATAL RN BRAZIL,-5.805398,-35.2080905,CityCenter,"NATAL, RN, Brazil"
BRASILAPI 78050170,,,BrasilAPI,"Cuiabá,MT"
CITY_CENTER CUIABÁ MT BRAZIL,-15.5986686,-56.0991301,CityCenter,"CUIABÁ, MT, Brazil"
BRASILAPI 79240000,,,BrasilAPI,"Jardim,MS"
CITY_CENTER JARDIM MS BRAZIL,-21.479941,-56.148902,CityCenter,"JARDIM, MS, Brazil"
BRASILAPI 17507400,,,BrasilAPI,"Marília,SP"
BRASILAPI 79101000,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 44052151,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 44021215,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 65074115,,,BrasilAPI,"São Luís,MA"
BRASILAPI 91751000,,,BrasilAPI,"Porto Alegre,RS"
CITY_CENTER PORTO ALEGRE RS BRAZIL,-30.0324999,-51.2303767,CityCenter,"PORTO ALEGRE, RS, Brazil"
BRASILAPI 75380307,,,BrasilAPI,"Trindade,GO"
CITY_CENTER TRINDADE GO BRAZIL,-16.6549924,-49.4876203,CityCenter,"TRINDADE, GO, Brazil"
BRASILAPI 69060020,,,BrasilAPI,"Manaus,AM"
BRASILAPI 30494310,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 78080300,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 58400180,,,BrasilAPI,"Campina Grande,PB"
CITY_CENTER SALINAS MG BRAZIL,-16.1699073,-42.2910368,CityCenter,"SALINAS, MG, Brazil"
BRASILAPI 32370485,,,BrasilAPI,"Contagem,MG"
CITY_CENTER CASTANHAL PA BRAZIL,-1.2927031,-47.9223903,CityCenter,"CASTANHAL, PA, Brazil"
BRASILAPI 68745000,,,BrasilAPI,"Castanhal,PA"
BRASILAPI 32210110,,,BrasilAPI,"Contagem,MG"
BRASILAPI 78065165,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 11420000,,,BrasilAPI,"Guarujá,SP"
BRASILAPI 30112020,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 60710684,,,BrasilAPI,"Fortaleza,CE"
CITY_CENTER FORTALEZA CE BRAZIL,-3.7304512,-38.5217989,CityCenter,"FORTALEZA, CE, Brazil"
BRASILAPI 50110000,,,BrasilAPI,"Recife,PE"
BRASILAPI 76820112,,,BrasilAPI,"Porto Velho,RO"
CITY_CENTER PORTO VELHO RO BRAZIL,-8.7494525,-63.8735438,CityCenter,"PORTO VELHO, RO, Brazil"
BRASILAPI 35500220,,,BrasilAPI,"Divinópolis,MG"
CITY_CENTER DIVINÓPOLIS MG BRAZIL,-20.1597921,-44.8739341,CityCenter,"DIVINÓPOLIS, MG, Brazil"
BRASILAPI 65056045,,,BrasilAPI,"São Luís,MA"
BRASILAPI 67120527,,,BrasilAPI,"Ananindeua,PA"
CITY_CENTER ANANINDEUA PA BRAZIL,-1.374035,-48.4016623,CityCenter,"ANANINDEUA, PA, Brazil"
BRASILAPI 58055018,,,BrasilAPI,"João Pessoa,PB"
CITY_CENTER JOÃO PESSOA PB BRAZIL,-7.1215981,-34.882028,CityCenter,"JOÃO PESSOA, PB, Brazil"
CITY_CENTER NOSSA SENHORA DO SOCORRO SE BRAZIL,-10.8553115,-37.1264863,CityCenter,"NOSSA SENHORA DO SOCORRO, SE, Brazil"
BRASILAPI 32400001,,,BrasilAPI,"Ibirité,MG"
CITY_CENTER IBIRITÉ MG BRAZIL,-20.0214251,-44.0621506,CityCenter,"IBIRITÉ, MG, Brazil"
CITY_CENTER ANTÔNIO CARDOSO BA BRAZIL,-12.4363122,-39.1200307,CityCenter,"ANTÔNIO CARDOSO, BA, Brazil"
BRASILAPI 65070076,,,BrasilAPI,"São Luís,MA"
BRASILAPI 59610280,,,BrasilAPI,"Mossoró,RN"
CITY_CENTER MOSSORÓ RN BRAZIL,-5.1904332,-37.3443872,CityCenter,"MOSSORÓ, RN, Brazil"
BRASILAPI 32341000,,,BrasilAPI,"Contagem,MG"
BRASILAPI 65725000,,,BrasilAPI,"Pedreiras,MA"
CITY_CENTER PEDREIRAS MA BRAZIL,-4.5687989,-44.6003029,CityCenter,"PEDREIRAS, MA, Brazil"
BRASILAPI 79002460,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 49065450,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 26012825,,,BrasilAPI,"Nova Iguaçu,RJ"
CITY_CENTER NOVA IGUAÇU RJ BRAZIL,-22.7592175,-43.4508728,CityCenter,"NOVA IGUAÇU, RJ, Brazil"
BRASILAPI 19053300,,,BrasilAPI,"Presidente Prudente,SP"
CITY_CENTER PRESIDENTE PRUDENTE SP BRAZIL,-22.1225167,-51.3882528,CityCenter,"PRESIDENTE PRUDENTE, SP, Brazil"
BRASILAPI 51110160,,,BrasilAPI,"Recife,PE"
BRASILAPI 58414060,,,BrasilAPI,"Campina Grande,PB"
BRASILAPI 33822722,,,BrasilAPI,"Ribeirão das Neves,MG"
CITY_CENTER RIBEIRÃO DAS NEVES MG BRAZIL,-19.7672898,-44.0875436,CityCenter,"RIBEIRÃO DAS NEVES, MG, Brazil"
BRASILAPI 45026090,,,BrasilAPI,"Vitória da Conquista,BA"
BRASILAPI 27948005,,,BrasilAPI,"Macaé,RJ"
CITY_CENTER MACAÉ RJ BRAZIL,-22.2828305,-41.9649091,CityCenter,"MACAÉ, RJ, Brazil"
CITY_CENTER JAPERI RJ BRAZIL,-22.6427642,-43.6533831,CityCenter,"JAPERI, RJ, Brazil"
BRASILAPI 28030035,,,BrasilAPI,"Campos dos Goytacazes,RJ"
BRASILAPI 88310003,,,BrasilAPI,"Itajaí,SC"
CITY_CENTER ITAJAÍ SC BRAZIL,-26.9046787,-48.6552979,CityCenter,"ITAJAÍ, SC, Brazil"
BRASILAPI 88215000,,,BrasilAPI,"Bombinhas,SC"
CITY_CENTER BOMBINHAS SC BRAZIL,-27.1519159,-48.4875691,CityCenter,"BOMBINHAS, SC, Brazil"
BRASILAPI 58110160,,,BrasilAPI,"Bayeux,PB"
BRASILAPI 61880320,,,BrasilAPI,"Itaitinga,CE"
CITY_CENTER ITAITINGA CE BRAZIL,-3.965768,-38.529763,CityCenter,"ITAITINGA, CE, Brazil"
BRASILAPI 60410321,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 14770000,,,BrasilAPI,"Colina,SP"
CITY_CENTER COLINA SP BRAZIL,-20.711443,-48.53867,CityCenter,"COLINA, SP, Brazil"
BRASILAPI 51150001,,,BrasilAPI,"Recife,PE"
BRASILAPI 68638000,,,BrasilAPI,"Rondon do Pará,PA"
CITY_CENTER RONDON DO PARÁ PA BRAZIL,-4.7804416,-48.06983,CityCenter,"RONDON DO PARÁ, PA, Brazil"
BRASILAPI 41830000,,,BrasilAPI,"Salvador,BA"
BRASILAPI 58102120,,,BrasilAPI,"Cabedelo,PB"
BRASILAPI 12080000,,,BrasilAPI,"Taubaté,SP"
CITY_CENTER TAUBATÉ SP BRAZIL,-23.031448,-45.5612792,CityCenter,"TAUBATÉ, SP, Brazil"
CITY_CENTER ITAPEMA SC BRAZIL,-27.09472,-48.6137778,CityCenter,"ITAPEMA, SC, Brazil"
BRASILAPI 44001008,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 65068500,,,BrasilAPI,"São Luís,MA"
BRASILAPI 29140501,,,BrasilAPI_None,
CITY_CENTER CARIACICA ES BRAZIL,-20.263202,-40.416549,CityCenter,"CARIACICA, ES, Brazil"
BRASILAPI 55555000,,,BrasilAPI,"Xexéu,PE"
CITY_CENTER XEXÉU PE BRAZIL,-8.8036743,-35.6244442,CityCenter,"XEXÉU, PE, Brazil"
CITY_CENTER SANTANA DE PARNAÍBA SP BRAZIL,-23.4446715,-46.9167722,CityCenter,"SANTANA DE PARNAÍBA, SP, Brazil"
BRASILAPI 51200000,,,BrasilAPI,"Recife,PE"
BRASILAPI 79020200,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 49037445,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 57083410,,,BrasilAPI,"Maceió,AL"
BRASILAPI 57073470,,,BrasilAPI,"Maceió,AL"
BRASILAPI 65075692,,,BrasilAPI,"São Luís,MA"
BRASILAPI 57084650,,,BrasilAPI,"Maceió,AL"
BRASILAPI 13077001,,,BrasilAPI,"Campinas,SP"
CITY_CENTER CAMPINAS SP BRAZIL,-22.9056391,-47.059564,CityCenter,"CAMPINAS, SP, Brazil"
BRASILAPI 30350563,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 34000001,,,BrasilAPI,"Nova Lima,MG"
BRASILAPI 30360430,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 34007134,,,BrasilAPI,"Nova Lima,MG"
