chave,lat,lon,metodo,extra
CITY_CENTER BARRA DOS COQUEIROS SE BRAZIL,-10.9075694,-37.0386249,CityCenter,"BARRA DOS COQUEIROS, SE, Brazil"
BRASILAPI 40280000,,,BrasilAPI,"Salvador,BA"
BRASILAPI 41706690,,,BrasilAPI,"Salvador,BA"
BRASILAPI 41650000,,,BrasilAPI,"Salvador,BA"
BRASILAPI 60822130,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 45031000,,,BrasilAPI,"Vitória da Conquista,BA"
BRASILAPI 45028045,,,BrasilAPI,"Vitória da Conquista,BA"
BRASILAPI 60732142,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 63024015,,,BrasilAPI,"Juazeiro do Norte,CE"
CITY_CENTER JUAZEIRO DO NORTE CE BRAZIL,-7.2153453,-39.3153336,CityCenter,"JUAZEIRO DO NORTE, CE, Brazil"
BRASILAPI 63050423,,,BrasilAPI,"Juazeiro do Norte,CE"
BRASILAPI 23575000,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 35400000,,,BrasilAPI,"Ouro Preto,MG"
CITY_CENTER OURO PRETO MG BRAZIL,-20.385527,-43.5035214,CityCenter,"OURO PRETO, MG, Brazil"
BRASILAPI 69040000,,,BrasilAPI,"Manaus,AM"
BRASILAPI 45652155,,,BrasilAPI_None,
BRASILAPI 65630030,,,BrasilAPI,"Timon,MA"
CITY_CENTER TIMON MA BRAZIL,-5.1004341,-42.8312018,CityCenter,"TIMON, MA, Brazil"
BRASILAPI 60811170,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 11380001,,,BrasilAPI,"São Vicente,SP"
CITY_CENTER SÃO VICENTE SP BRAZIL,-23.9664177,-46.3861401,CityCenter,"SÃO VICENTE, SP, Brazil"
CITY_CENTER VENDA NOVA DO IMIGRANTE ES BRAZIL,-20.3325787,-41.1295842,CityCenter,"VENDA NOVA DO IMIGRANTE, ES, Brazil"
BRASILAPI 33200000,,,BrasilAPI_None,
CITY_CENTER VESPASIANO MG BRAZIL,-19.6940958,-43.9186521,CityCenter,"VESPASIANO, MG, Brazil"
BRASILAPI 13140558,,,BrasilAPI,"Paulínia,SP"
CITY_CENTER PAULÍNIA SP BRAZIL,-22.7630391,-47.1532213,CityCenter,"PAULÍNIA, SP, Brazil"
BRASILAPI 75104390,,,BrasilAPI,"Anápolis,GO"
CITY_CENTER ANÁPOLIS GO BRAZIL,-16.3332828,-48.9525756,CityCenter,"ANÁPOLIS, GO, Brazil"
BRASILAPI 65630020,,,BrasilAPI,"Timon,MA"
BRASILAPI 14095000,,,BrasilAPI,"Ribeirão Preto,SP"
CITY_CENTER RIBEIRÃO PRETO SP BRAZIL,-21.1776315,-47.8100983,CityCenter,"RIBEIRÃO PRETO, SP, Brazil"
BRASILAPI 58030000,,,BrasilAPI,"João Pessoa,PB"
BRASILAPI 96040000,,,BrasilAPI,"Pelotas,RS"
CITY_CENTER PELOTAS RS BRAZIL,-31.7699736,-52.3410161,CityCenter,"PELOTAS, RS, Brazil"
BRASILAPI 14095210,,,BrasilAPI,"Ribeirão Preto,SP"
BRASILAPI 25020001,,,BrasilAPI,"Duque de Caxias,RJ"
BRASILAPI 13333000,,,BrasilAPI,"Indaiatuba,SP"
CITY_CENTER INDAIATUBA SP BRAZIL,-23.0908356,-47.2180677,CityCenter,"INDAIATUBA, SP, Brazil"
BRASILAPI 11705000,,,BrasilAPI,"Praia Grande,SP"
CITY_CENTER PRAIA GRANDE SP BRAZIL,-24.008979,-46.4144939,CityCenter,"PRAIA GRANDE, SP, Brazil"
BRASILAPI 78705000,,,BrasilAPI,"Rondonópolis,MT"
BRASILAPI 79112010,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 35660970,,,BrasilAPI,"Pará de Minas,MG"
CITY_CENTER PARÁ DE MINAS MG BRAZIL,-19.8668656,-44.5912664,CityCenter,"PARÁ DE MINAS, MG, Brazil"
BRASILAPI 13339125,,,BrasilAPI,"Indaiatuba,SP"
BRASILAPI 88780000,,,BrasilAPI,"Imbituba,SC"
CITY_CENTER IMBITUBA SC BRAZIL,-28.241827,-48.6643444,CityCenter,"IMBITUBA, SC, Brazil"
BRASILAPI 45607000,,,BrasilAPI,"Itabuna,BA"
BRASILAPI 65138000,,,BrasilAPI,"Raposa,MA"
CITY_CENTER RAPOSA MA BRAZIL,-2.4410095,-44.1104256,CityCenter,"RAPOSA, MA, Brazil"
BRASILAPI 11660971,,,BrasilAPI,"Caraguatatuba,SP"
CITY_CENTER CARAGUATATUBA SP BRAZIL,-23.62028,-45.41306,CityCenter,"CARAGUATATUBA, SP, Brazil"
CITY_CENTER CAIEIRAS SP BRAZIL,-23.3644621,-46.7484765,CityCenter,"CAIEIRAS, SP, Brazil"
BRASILAPI 60420432,,,BrasilAPI,"Fortaleza,CE"
CITY_CENTER PETROLINA PE BRAZIL,-9.3817334,-40.4968875,CityCenter,"PETROLINA, PE, Brazil"
BRASILAPI 30380002,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 79613000,,,BrasilAPI,"Três Lagoas,MS"
BRASILAPI 64049560,,,BrasilAPI,"Teresina,PI"
CITY_CENTER TERESINA PI BRAZIL,-5.0874608,-42.8049571,CityCenter,"TERESINA, PI, Brazil"
BRASILAPI 14170585,,,BrasilAPI,"Sertãozinho,SP"
CITY_CENTER SERTÃOZINHO SP BRAZIL,-21.1375782,-47.9913741,CityCenter,"SERTÃOZINHO, SP, Brazil"
BRASILAPI 40110100,,,BrasilAPI,"Salvador,BA"
BRASILAPI 65590000,,,BrasilAPI,"Barreirinhas,MA"
CITY_CENTER BARREIRINHAS MA BRAZIL,-2.7541271,-42.8259693,CityCenter,"BARREIRINHAS, MA, Brazil"
BRASILAPI 78700130,,,BrasilAPI,"Rondonópolis,MT"
BRASILAPI 38800000,,,BrasilAPI,"São Gotardo,MG"
CITY_CENTER SÃO GOTARDO MG BRAZIL,-19.3168844,-46.0476596,CityCenter,"SÃO GOTARDO, MG, Brazil"
BRASILAPI 53525030,,,BrasilAPI,"Abreu e Lima,PE"
BRASILAPI 83040564,,,BrasilAPI,"São José dos Pinhais,PR"
CITY_CENTER SÃO JOSÉ DOS PINHAIS PR BRAZIL,-25.533816,-49.2072163,CityCenter,"SÃO JOSÉ DOS PINHAIS, PR, Brazil"
BRASILAPI 13403825,,,BrasilAPI,"Piracicaba,SP"
BRASILAPI 29102041,,,BrasilAPI,"Vila Velha,ES"
CITY_CENTER VILA VELHA ES BRAZIL,-20.3297037,-40.2920174,CityCenter,"VILA VELHA, ES, Brazil"
BRASILAPI 40279150,,,BrasilAPI,"Salvador,BA"
BRASILAPI 42702400,,,BrasilAPI,"Lauro de Freitas,BA"
BRASILAPI 32450000,,,BrasilAPI,"Sarzedo,MG"
CITY_CENTER SARZEDO MG BRAZIL,-20.0353,-44.1453,CityCenter,"SARZEDO, MG, Brazil"
BRASILAPI 13502100,,,BrasilAPI,"Rio Claro,SP"
CITY_CENTER RIO CLARO SP BRAZIL,-22.4100108,-47.5603933,CityCenter,"RIO CLARO, SP, Brazil"
CITY_CENTER SOROCABA SP BRAZIL,-23.5003451,-47.4582864,CityCenter,"SOROCABA, SP, Brazil"
BRASILAPI 60356392,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 66050000,,,BrasilAPI,"Belém,PA"
BRASILAPI 13013061,,,BrasilAPI,"Campinas,SP"
BRASILAPI 60355503,,,BrasilAPI,"Fortaleza,CE"
CITY_CENTER SÃO BERNARDO DO CAMPO SP BRAZIL,-23.7080345,-46.5506747,CityCenter,"SÃO BERNARDO DO CAMPO, SP, Brazil"
BRASILAPI 40080002,,,BrasilAPI,"Salvador,BA"
BRASILAPI 88301200,,,BrasilAPI,"Itajaí,SC"
CITY_CENTER SERRA ES BRAZIL,-20.1252961,-40.3064477,CityCenter,"SERRA, ES, Brazil"
BRASILAPI 49025100,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 57010000,,,BrasilAPI,"Maceió,AL"
BRASILAPI 41820908,,,BrasilAPI,"Salvador,BA"
BRASILAPI 66615005,,,BrasilAPI,"Belém,PA"
BRASILAPI 57360000,,,BrasilAPI,"Girau do Ponciano,AL"
CITY_CENTER GIRAU DO PONCIANO AL BRAZIL,-9.884041,-36.831592,CityCenter,"GIRAU DO PONCIANO, AL, Brazil"
BRASILAPI 74866030,,,BrasilAPI,"Goiânia,GO"
BRASILAPI 13419320,,,BrasilAPI,"Piracicaba,SP"
BRASILAPI 41213000,,,BrasilAPI,"Salvador,BA"
BRASILAPI 13201160,,,BrasilAPI,"Jundiaí,SP"
CITY_CENTER JUNDIAÍ SP BRAZIL,-23.1887668,-46.884506,CityCenter,"JUNDIAÍ, SP, Brazil"
CITY_CENTER MATUPÁ MT BRAZIL,-10.1683242,-54.9346194,CityCenter,"MATUPÁ, MT, Brazil"
BRASILAPI 56906010,,,BrasilAPI,"Serra Talhada,PE"
CITY_CENTER SERRA TALHADA PE BRAZIL,-7.9867805,-38.2920294,CityCenter,"SERRA TALHADA, PE, Brazil"
BRASILAPI 60810350,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 68537000,,,BrasilAPI,"Canaã dos Carajás,PA"
CITY_CENTER CANAÃ DOS CARAJÁS PA BRAZIL,-6.5296837,-49.8516592,CityCenter,"CANAÃ DOS CARAJÁS, PA, Brazil"
BRASILAPI 64073020,,,BrasilAPI,"Teresina,PI"
BRASILAPI 29230000,,,BrasilAPI,"Anchieta,ES"
CITY_CENTER ANCHIETA ES BRAZIL,-20.8057672,-40.6454564,CityCenter,"ANCHIETA, ES, Brazil"
BRASILAPI 57442000,,,BrasilAPI,"Olho D'Água das Flores,AL"
CITY_CENTER OLHO D ÁGUA DAS FLORES AL BRAZIL,-9.5318374,-37.2939052,CityCenter,"OLHO D'ÁGUA DAS FLORES, AL, Brazil"
BRASILAPI 57280000,,,BrasilAPI,"Igreja Nova,AL"
CITY_CENTER IGREJA NOVA AL BRAZIL,-10.1267244,-36.658151,CityCenter,"IGREJA NOVA, AL, Brazil"
BRASILAPI 28015020,,,BrasilAPI,"Campos dos Goytacazes,RJ"
BRASILAPI 79104260,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 33239210,,,BrasilAPI,"Lagoa Santa,MG"
CITY_CENTER LAGOA SANTA MG BRAZIL,-19.6357376,-43.8966132,CityCenter,"LAGOA SANTA, MG, Brazil"
BRASILAPI 50810000,,,BrasilAPI,"Recife,PE"
BRASILAPI 40470630,,,BrasilAPI,"Salvador,BA"
BRASILAPI 66040020,,,BrasilAPI,"Belém,PA"
BRASILAPI 78135626,,,BrasilAPI,"Várzea Grande,MT"
CITY_CENTER VÁRZEA GRANDE MT BRAZIL,-15.645816,-56.132218,CityCenter,"VÁRZEA GRANDE, MT, Brazil"
BRASILAPI 35930002,,,BrasilAPI,"João Monlevade,MG"
CITY_CENTER JOÃO MONLEVADE MG BRAZIL,-19.809444,-43.173334,CityCenter,"JOÃO MONLEVADE, MG, Brazil"
CITY_CENTER PENEDO AL BRAZIL,-10.2872341,-36.5819262,CityCenter,"PENEDO, AL, Brazil"
BRASILAPI 41950000,,,BrasilAPI,"Salvador,BA"
BRASILAPI 41820000,,,BrasilAPI,"Salvador,BA"
BRASILAPI 13424022,,,BrasilAPI,"Piracicaba,SP"
BRASILAPI 75340000,,,BrasilAPI,"Hidrolândia,GO"
CITY_CENTER HIDROLÂNDIA GO BRAZIL,-16.9671342,-49.22826,CityCenter,"HIDROLÂNDIA, GO, Brazil"
CITY_CENTER SÃO MATEUS DO MARANHÃO MA BRAZIL,-4.0289169,-44.4667342,CityCenter,"SÃO MATEUS DO MARANHÃO, MA, Brazil"
BRASILAPI 60135102,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 51020280,,,BrasilAPI,"Recife,PE"
BRASILAPI 33250033,,,BrasilAPI,"Pedro Leopoldo,MG"
CITY_CENTER PEDRO LEOPOLDO MG BRAZIL,-19.617778,-44.043055,CityCenter,"PEDRO LEOPOLDO, MG, Brazil"
BRASILAPI 68551000,,,BrasilAPI,"Redenção,PA"
CITY_CENTER REDENÇÃO PA BRAZIL,-8.0299327,-50.0309543,CityCenter,"REDENÇÃO, PA, Brazil"
BRASILAPI 77001014,,,BrasilAPI,"Palmas,TO"
CITY_CENTER PALMAS TO BRAZIL,-10.1837852,-48.3336423,CityCenter,"PALMAS, TO, Brazil"
BRASILAPI 76350000,,,BrasilAPI,"Rubiataba,GO"
CITY_CENTER RUBIATABA GO BRAZIL,-15.1629793,-49.8005102,CityCenter,"RUBIATABA, GO, Brazil"
BRASILAPI 11726500,,,BrasilAPI,"Praia Grande,SP"
BRASILAPI 22775003,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 59151610,,,BrasilAPI,"Parnamirim,RN"
CITY_CENTER PARNAMIRIM RN BRAZIL,-5.9153334,-35.2679913,CityCenter,"PARNAMIRIM, RN, Brazil"
BRASILAPI 74280160,,,BrasilAPI,"Goiânia,GO"
CITY_CENTER SANTO ANDRÉ SP BRAZIL,-23.6533509,-46.5279039,CityCenter,"SANTO ANDRÉ, SP, Brazil"
BRASILAPI 35447000,,,BrasilAPI,"Barra Longa,MG"
CITY_CENTER BARRA LONGA MG BRAZIL,-20.2833541,-43.0423516,CityCenter,"BARRA LONGA, MG, Brazil"
CITY_CENTER SANTA CRUZ DO CAPIBARIBE PE BRAZIL,-7.948019,-36.206092,CityCenter,"SANTA CRUZ DO CAPIBARIBE, PE, Brazil"
CITY_CENTER RIBEIRÃO PE BRAZIL,-8.5066761,-35.3747339,CityCenter,"RIBEIRÃO, PE, Brazil"
BRASILAPI 79900404,,,BrasilAPI,"Ponta Porã,MS"
CITY_CENTER PONTA PORÃ MS BRAZIL,-22.5286917,-55.723426,CityCenter,"PONTA PORÃ, MS, Brazil"
BRASILAPI 32603075,,,BrasilAPI,"Betim,MG"
CITY_CENTER BETIM MG BRAZIL,-19.9475338,-44.1995361,CityCenter,"BETIM, MG, Brazil"
BRASILAPI 15130000,,,BrasilAPI_None,
CITY_CENTER MIRASSOL SP BRAZIL,-20.8141411,-49.507449,CityCenter,"MIRASSOL, SP, Brazil"
BRASILAPI 60325003,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 13468000,,,BrasilAPI,"Americana,SP"
CITY_CENTER AMERICANA SP BRAZIL,-22.7392463,-47.3306032,CityCenter,"AMERICANA, SP, Brazil"
BRASILAPI 79904698,,,BrasilAPI,"Ponta Porã,MS"
BRASILAPI 35675000,,,BrasilAPI,"Juatuba,MG"
CITY_CENTER JUATUBA MG BRAZIL,-19.954001,-44.3407921,CityCenter,"JUATUBA, MG, Brazil"
BRASILAPI 18130485,,,BrasilAPI,"São Roque,SP"
CITY_CENTER SÃO ROQUE SP BRAZIL,-23.5304843,-47.1355473,CityCenter,"SÃO ROQUE, SP, Brazil"
BRASILAPI 23575202,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 33120483,,,BrasilAPI,"Santa Luzia,MG"
CITY_CENTER SANTA LUZIA MG BRAZIL,-19.7702097,-43.8505291,CityCenter,"SANTA LUZIA, MG, Brazil"
BRASILAPI 68575000,,,BrasilAPI,"Piçarra,PA"
CITY_CENTER PIÇARRA PA BRAZIL,-6.4475822,-48.8633795,CityCenter,"PIÇARRA, PA, Brazil"
BRASILAPI 50870180,,,BrasilAPI,"Recife,PE"
BRASILAPI 13091000,,,BrasilAPI,"Campinas,SP"
BRASILAPI 63508120,,,BrasilAPI,"Iguatu,CE"
CITY_CENTER IGUATU CE BRAZIL,-6.361934,-39.2972233,CityCenter,"IGUATU, CE, Brazil"
BRASILAPI 65268000,,,BrasilAPI,"Cururupu,MA"
CITY_CENTER CURURUPU MA BRAZIL,-1.824255,-44.872996,CityCenter,"CURURUPU, MA, Brazil"
BRASILAPI 40140902,,,BrasilAPI,"Salvador,BA"
BRASILAPI 88805000,,,BrasilAPI,"Criciúma,SC"
CITY_CENTER CRICIÚMA SC BRAZIL,-28.6789941,-49.3695627,CityCenter,"CRICIÚMA, SC, Brazil"
BRASILAPI 45200970,,,BrasilAPI,"Jequié,BA"
BRASILAPI 38401119,,,BrasilAPI,"Uberlândia,MG"
BRASILAPI 29101410,,,BrasilAPI,"Vila Velha,ES"
CITY_CENTER MARANGUAPE CE BRAZIL,-3.8922967,-38.6835427,CityCenter,"MARANGUAPE, CE, Brazil"
BRASILAPI 81530434,,,BrasilAPI,"Curitiba,PR"
CITY_CENTER CURITIBA PR BRAZIL,-25.4295963,-49.2712724,CityCenter,"CURITIBA, PR, Brazil"
BRASILAPI 57037285,,,BrasilAPI,"Maceió,AL"
CITY_CENTER SÃO CAETANO DO SUL SP BRAZIL,-23.6195923,-46.5688323,CityCenter,"SÃO CAETANO DO SUL, SP, Brazil"
BRASILAPI 49400000,,,BrasilAPI,"Lagarto,SE"
CITY_CENTER LAGARTO SE BRAZIL,-10.914501,-37.6711105,CityCenter,"LAGARTO, SE, Brazil"
BRASILAPI 68590000,,,BrasilAPI,"Jacundá,PA"
CITY_CENTER JACUNDÁ PA BRAZIL,-4.446173,-49.115272,CityCenter,"JACUNDÁ, PA, Brazil"
BRASILAPI 79210000,,,BrasilAPI,"Anastácio,MS"
CITY_CENTER ANASTÁCIO MS BRAZIL,-20.4832458,-55.8048448,CityCenter,"ANASTÁCIO, MS, Brazil"
BRASILAPI 52171460,,,BrasilAPI,"Recife,PE"
BRASILAPI 59066180,,,BrasilAPI,"Natal,RN"
BRASILAPI 22793082,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 22790703,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 22793081,,,BrasilAPI,"Rio de Janeiro,RJ"
BRASILAPI 39404621,,,BrasilAPI,"Montes Claros,MG"
CITY_CENTER MONTES CLAROS MG BRAZIL,-16.7495727,-43.8687268,CityCenter,"MONTES CLAROS, MG, Brazil"
CITY_CENTER EUNÁPOLIS BA BRAZIL,-16.3766148,-39.586449,CityCenter,"EUNÁPOLIS, BA, Brazil"
BRASILAPI 57601370,,,BrasilAPI,"Palmeira dos Índios,AL"
CITY_CENTER PALMEIRA DOS ÍNDIOS AL BRAZIL,-9.4076249,-36.6323616,CityCenter,"PALMEIRA DOS ÍNDIOS, AL, Brazil"
BRASILAPI 64020338,,,BrasilAPI,"Teresina,PI"
BRASILAPI 60170002,,,BrasilAPI,"Fortaleza,CE"
CITY_CENTER PAÇO DO LUMIAR MA BRAZIL,-2.5329055,-44.1591965,CityCenter,"PAÇO DO LUMIAR, MA, Brazil"
BRASILAPI 13877757,,,BrasilAPI,"São João da Boa Vista,SP"
CITY_CENTER SÃO JOÃO DA BOA VISTA SP BRAZIL,-21.9687099,-46.7969216,CityCenter,"SÃO JOÃO DA BOA VISTA, SP, Brazil"
BRASILAPI 79170000,,,BrasilAPI,"Sidrolândia,MS"
CITY_CENTER SIDROLÂNDIA MS BRAZIL,-20.9361042,-54.9640262,CityCenter,"SIDROLÂNDIA, MS, Brazil"
BRASILAPI 79150000,,,BrasilAPI,"Maracaju,MS"
BRASILAPI 59080105,,,BrasilAPI,"Natal,RN"
BRASILAPI 65085581,,,BrasilAPI,"São Luís,MA"
CITY_CENTER CAMARAGIBE PE BRAZIL,-8.0213832,-34.9810768,CityCenter,"CAMARAGIBE, PE, Brazil"
BRASILAPI 35930312,,,BrasilAPI,"João Monlevade,MG"
BRASILAPI 35680037,,,BrasilAPI,"Itaúna,MG"
BRASILAPI 66087810,,,BrasilAPI,"Belém,PA"
BRASILAPI 88308001,,,BrasilAPI,"Itajaí,SC"
BRASILAPI 79076168,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 88308000,,,BrasilAPI,"Itajaí,SC"
BRASILAPI 79094000,,,BrasilAPI,"Campo Grande,MS"
BRASILAPI 34800000,,,BrasilAPI,"Caeté,MG"
CITY_CENTER CAETÉ MG BRAZIL,-19.897777,-43.670278,CityCenter,"CAETÉ, MG, Brazil"
BRASILAPI 57316010,,,BrasilAPI,"Arapiraca,AL"
CITY_CENTER ARAPIRACA AL BRAZIL,-9.754866,-36.661471,CityCenter,"ARAPIRACA, AL, Brazil"
CITY_CENTER SÃO MIGUEL DO GUAMÁ PA BRAZIL,-1.6116804,-47.4757551,CityCenter,"SÃO MIGUEL DO GUAMÁ, PA, Brazil"
BRASILAPI 88210000,,,BrasilAPI,"Porto Belo,SC"
CITY_CENTER PORTO BELO SC BRAZIL,-27.1542415,-48.5424395,CityCenter,"PORTO BELO, SC, Brazil"
BRASILAPI 60740002,,,BrasilAPI,"Fortaleza,CE"
BRASILAPI 57080128,,,BrasilAPI,"Maceió,AL"
BRASILAPI 44090156,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 45450000,,,BrasilAPI,"Gandu,BA"
CITY_CENTER GANDU BA BRAZIL,-13.7448138,-39.4844732,CityCenter,"GANDU, BA, Brazil"
BRASILAPI 59570000,,,BrasilAPI,"Ceará-Mirim,RN"
CITY_CENTER CEARÁ MIRIM RN BRAZIL,-5.633588,-35.4248407,CityCenter,"CEARÁ-MIRIM, RN, Brazil"
BRASILAPI 79500000,,,BrasilAPI,"Paranaíba,MS"
CITY_CENTER PARANAÍBA MS BRAZIL,-19.6751971,-51.1874986,CityCenter,"PARANAÍBA, MS, Brazil"
BRASILAPI 37200000,,,BrasilAPI_None,
CITY_CENTER LAVRAS MG BRAZIL,-21.2425512,-44.9991978,CityCenter,"LAVRAS, MG, Brazil"
BRASILAPI 32280340,,,BrasilAPI,"Contagem,MG"
BRASILAPI 57052403,,,BrasilAPI,"Maceió,AL"
BRASILAPI 15040300,,,BrasilAPI,"São José do Rio Preto,SP"
BRASILAPI 27525598,,,BrasilAPI,"Resende,RJ"
CITY_CENTER RESENDE RJ BRAZIL,-22.4418699,-44.4204847,CityCenter,"RESENDE, RJ, Brazil"
BRASILAPI 58039010,,,BrasilAPI,"João Pessoa,PB"
BRASILAPI 44076405,,,BrasilAPI,"Feira de Santana,BA"
BRASILAPI 66060232,,,BrasilAPI,"Belém,PA"
BRASILAPI 57607280,,,BrasilAPI,"Palmeira dos Índios,AL"
BRASILAPI 78056022,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 78048482,,,BrasilAPI,"Cuiabá,MT"
BRASILAPI 49001377,,,BrasilAPI,"Aracaju,SE"
BRASILAPI 17048011,,,BrasilAPI,"Bauru,SP"
BRASILAPI 96203000,,,BrasilAPI,"Rio Grande,RS"
CITY_CENTER RIO GRANDE RS BRAZIL,-32.0334252,-52.0991297,CityCenter,"RIO GRANDE, RS, Brazil"
BRASILAPI 18076005,,,BrasilAPI,"Sorocaba,SP"
BRASILAPI 40050001,,,BrasilAPI,"Salvador,BA"
BRASILAPI 11776772,,,BrasilAPI,"Peruíbe,SP"
CITY_CENTER PERUÍBE SP BRAZIL,-24.3218105,-46.9977452,CityCenter,"PERUÍBE, SP, Brazil"
BRASILAPI 33230294,,,BrasilAPI,"Lagoa Santa,MG"
BRASILAPI 50050902,,,BrasilAPI,"Recife,PE"
BRASILAPI 65400000,,,BrasilAPI,"Codó,MA"
CITY_CENTER CODÓ MA BRAZIL,-4.455623,-43.892354,CityCenter,"CODÓ, MA, Brazil"
BRASILAPI 64053010,,,BrasilAPI,"Teresina,PI"
BRASILAPI 64045000,,,BrasilAPI,"Teresina,PI"
BRASILAPI 15200000,,,BrasilAPI,"José Bonifácio,SP"
CITY_CENTER JOSÉ BONIFÁCIO SP BRAZIL,-21.055062,-49.689233,CityCenter,"JOSÉ BONIFÁCIO, SP, Brazil"
BRASILAPI 77061002,,,BrasilAPI,"Palmas,TO"
BRASILAPI 42800311,,,BrasilAPI,"Camaçari,BA"
BRASILAPI 24451715,,,BrasilAPI,"São Gonçalo,RJ"
CITY_CENTER SÃO GONÇALO RJ BRAZIL,-22.821635,-42.9956797,CityCenter,"SÃO GONÇALO, RJ, Brazil"
BRASILAPI 88340206,,,BrasilAPI,"Camboriú,SC"
CITY_CENTER CAMBORIÚ SC BRAZIL,-27.0273601,-48.6535657,CityCenter,"CAMBORIÚ, SC, Brazil"
BRASILAPI 11666000,,,BrasilAPI,"Caraguatatuba,SP"
BRASILAPI 13140707,,,BrasilAPI,"Paulínia,SP"
BRASILAPI 78158034,,,BrasilAPI,"Várzea Grande,MT"
